"createdAt","domain","shortCode","shortUrl","longUrl","title","tags","visits"
"2025-12-12T09:27:55+08:00","brid.pw","chenghh","https://brid.pw/chenghh","https://drive.google.com/drive/folders/1sPzyX8osMpj3xvQc3JCrbuQSQrqqNqC9?usp=sharing","0. 專題繳交文件_給秀華老師 - Google Drive","me",0
"2025-12-11T15:34:03+08:00","brid.pw","book","https://brid.pw/book","https://notebooklm.google.com/","Sign in - Google Accounts","me",0
"2025-12-05T08:57:07+08:00","brid.pw","no","https://brid.pw/no","https://www.notion.com/login","","",0
"2025-12-05T08:56:02+08:00","brid.pw","office","https://brid.pw/office","https://otp.landian.vip/en-us/","Office Tool Plus | Easy to deploy Office","me",0
"2025-11-19T13:10:23+08:00","brid.pw","icon","https://brid.pw/icon","https://drive.brid.pw/@s/OhXnDlN6","名琮網盤","",0
"2025-11-19T06:37:23+08:00","brid.pw","gemail","https://brid.pw/gemail","https://mail.google.com/a/gemail.yuntech.edu.tw","Sign in - Google Accounts","",0
"2025-11-18T23:14:59+08:00","brid.pw","up","https://brid.pw/up","https://stats.uptimerobot.com/lz95hzURZO","Bridger","",0
"2025-11-18T23:14:50+08:00","brid.pw","stats","https://brid.pw/stats","https://stats.uptimerobot.com/lz95hzURZO","Bridger","",0
"2025-11-17T20:24:12+08:00","brid.pw","call","https://brid.pw/call","https://ta.brid.pw/%E6%A0%B8%E9%8A%B7%E7%B6%93%E8%BE%A6%E4%BA%BA/call","Joanne TA 資訊入口網 - 分機","sutw",0
"2025-11-12T22:01:50+08:00","brid.pw","456","https://brid.pw/456","https://drive.brid.pw/@s/EVWEKtNg","","sutw",0
"2025-11-12T00:00:11+08:00","brid.pw","trip","https://brid.pw/trip","https://travel.liontravel.com/detail?NormGroupID=738718eb-4597-46e2-82cd-e25d28720e12&GroupID=26JS129JX-T&TourSource=Lion&Platform=APP","","me",0
"2025-11-11T23:58:40+08:00","brid.pw","admin","https://brid.pw/admin","https://essay.brid.pw/admin/dashboard","","sutw",0
"2025-11-10T06:16:13+08:00","brid.pw","lion","https://brid.pw/lion","https://travel.liontravel.com/detail?NormGroupID=738718eb-4597-46e2-82cd-e25d28720e12&GroupID=26JS129JX-T&TourSource=Lion&Platform=APP","東北旅遊|銀山溫泉街.藏王樹冰纜車.戲雪活動.會津若松城.大內宿合掌村.松島遊船.山形牛餐.酒藏見學.採果.溫泉五日(26JS129JX-T)-東北|雄獅旅遊","japan",0
"2025-11-09T21:53:28+08:00","brid.pw","todo","https://brid.pw/todo","https://www.notion.so/bridgerhung/11-26-2a6e460c27c3807ba340e7d43a6d1bf0","Notion","專題",0
"2025-11-03T19:34:06+08:00","brid.pw","123","https://brid.pw/123","https://cloud.brid.pw/s/xEtd","","",0
"2025-10-13T19:28:22+08:00","brid.pw","nhi","https://brid.pw/nhi","https://myhealthbank.nhi.gov.tw/","","me",0
"2025-10-07T22:42:08+08:00","brid.pw","adobe","https://brid.pw/adobe","https://drive.brid.pw/e5_cloud/9.%20%E8%BB%9F%E9%AB%94%E5%82%99%E4%BB%BD/Adobe","","me",0
"2025-10-01T08:34:59+08:00","brid.pw","ple","https://brid.pw/ple","https://www.perplexity.ai/","","me",0
"2025-09-04T09:24:52+08:00","brid.pw","outlook","https://brid.pw/outlook","https://outlook.office365.com/yuntech.edu.tw/","Sign in to Outlook","yunapp",0
"2025-08-29T18:03:22+08:00","brid.pw","card","https://brid.pw/card","https://roo.cash/blog/creditcard-bank-service-phone-number/#%E9%8A%80%E8%A1%8C%E5%AE%A2%E6%9C%8D%E9%9B%BB%E8%A9%B1%EF%BC%9A%E6%9C%80%E6%96%B0%E9%8A%80%E8%A1%8C%E5%AE%A2%E6%9C%8D%E9%9B%BB%E8%A9%B1%E8%BD%89%E6%8E%A5%E5%B0%88%E4%BA%BA%E5%BF%AB%E6%8D%B7%E9%8D%B5","","me",0
"2025-07-31T22:30:29+08:00","brid.pw","gmail","https://brid.pw/gmail","https://mail.google.com/a/gemail.yuntech.edu.tw","","yunapp",0
"2025-07-08T09:26:12+08:00","brid.pw","kan","https://brid.pw/kan","https://digitalmaster.knsh.com.tw/v3/pages/e/index.html#year=1131&field=WW&grade=enall&item=web&bookcase=online","","me",0
"2025-07-08T09:25:51+08:00","brid.pw","han","https://brid.pw/han","https://edisc3.hle.com.tw/edisc_v3/ebook_v2023.html#degree=%E5%9C%8B%E5%B0%8F&cat=%E8%8B%B1%E8%AA%9E&prd=EEC&year=113%E5%AD%B8%E5%B9%B4%E5%BA%A6&grade=%E7%AC%AC%E4%BA%8C%E5%86%8A&tab=tab1","","",0
"2025-06-14T08:28:40+08:00","brid.pw","yuntechvpn","https://brid.pw/yuntechvpn","https://yuntechvpn.twaren.net/dana-na/auth/url_default/welcome.cgi","雲科大 SSL VPN","yunapp",0
"2025-04-25T19:50:12+08:00","brid.pw","%E8%A8%88%E7%95%AB%E4%B8%BB%E6%8C%81%E4%BA%BA%E8%B2%BB%E5%BD%B1%E7%89%87","https://brid.pw/計畫主持人費影片","https://bridgerhmt-my.sharepoint.com/:v:/g/personal/bridger_brid_pw/ETX_KJrf6BRBr2xGUQJSyS8BRQuISrvE73JgOz9qTAAL3A?e=zLmU7X","Sign in to your account","sutw",0
"2025-04-18T14:47:33+08:00","brid.pw","health","https://brid.pw/health","https://myhealthbank.nhi.gov.tw/IHKE3000/IHKE3099S01","全民健康保險健康存摺","me",0
"2025-04-06T23:39:38+08:00","brid.pw","summer","https://brid.pw/summer","https://svcs.chc.edu.tw/index.php","彰化縣暑期校園工讀營隊活動網站","edu",0
"2025-02-04T21:56:16+08:00","brid.pw","bus","https://brid.pw/bus","https://www.taiwanbus.tw/ebuspage/Default.aspx?lan=C","公路客運即時動態資訊網 - 首頁","me",0
"2025-01-24T18:06:53+08:00","brid.pw","peggy","https://brid.pw/peggy","https://bridgerhmt-my.sharepoint.com/personal/peggy_brid_pw/_layouts/15/onedrive.aspx?login_hint=peggy%40brid%2Epw","Sign in to your account","me",0
"2025-01-24T17:22:11+08:00","brid.pw","cycu","https://brid.pw/cycu","https://officecycu-my.sharepoint.com/personal/11324245_o365st_cycu_edu_tw/_layouts/15/onedrive.aspx","Sign in to your account","me",0
"2025-01-03T17:53:44+08:00","brid.pw","cloud","https://brid.pw/cloud","https://bridgerhmt-my.sharepoint.com/personal/cloud_brid_pw/_layouts/15/onedrive.aspx?&login_hint=cloud@brid.pw","Sign in to your account","me",0
"2025-01-01T07:55:04+08:00","brid.pw","obs","https://brid.pw/obs","https://obsproject.com/download","Download | OBS","me",0
"2024-12-27T13:18:30+08:00","brid.pw","rust","https://brid.pw/rust","https://rustdesk.com/download","Release 1.3.6 · rustdesk/rustdesk · GitHub","me",0
"2024-11-07T21:05:33+08:00","brid.pw","box","https://brid.pw/box","https://bridbox.notion.site/a62d4ea1c9a24b3292f6c1fdad7f3d14?v=ce94cb3c76684e8d85b26f17163395ac&pvs=4","Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.","me",0
"2024-11-07T08:38:03+08:00","brid.pw","yt","https://brid.pw/yt","https://cloud.brid.pw/s/80Tg?openExternalBrowser=1","名琮新雲端","me",0
"2024-11-01T15:09:10+08:00","brid.pw","us","https://brid.pw/us","https://www.google.com/?gl=us&hl=en","Google","me",0
"2024-10-21T18:54:32+08:00","brid.pw","japan","https://brid.pw/japan","https://www.travel4u.com.tw/group/product/groupbriefings/SPK05250214C/r/70949e0085ded5610db06d28f9dd2f89fc486089/","雪舞北海道５日 | 山富旅遊","japan|me",0
"2024-09-26T15:11:06+08:00","brid.pw","wg","https://brid.pw/wg","https://cloud.brid.pw/s/qrs7","名琮新雲端","me",0
"2024-09-16T11:17:29+08:00","brid.pw","ewant","https://brid.pw/ewant","https://www.ewant.org/login/index.php","","me|yunapp",0
